Object,Star,Star type,Mass (M⊕),Radius (R⊕),Density (g/cm3),Flux (F⊕),Teq (K),Period (days),Distance (ly),Note,index,Discovery Year,Discovery Method
Earth (reported for reference),Sun,G2V,1.0,1.0,5.51,1.0,255.0,365.25,0.0,Only planet confirmed to support life.,,0,
Venus (reported for reference),Sun,G2V,0.81,0.95,5.24,1.91,244.26,224.7,4.2,[5],,0,
Mars (reported for reference),Sun,G2V,0.11,0.53,3.93,0.43,209.8,686.98,5.8,[6],,0,
Gliese 12 b,Gliese 12,M4V,0.88,1.03,4.44,1.6,315.0,12.7,40.0,[7],,0,
Gliese 163 c,Gliese 163,M3V,6.8,,,1.25,277.0,25.6,49.0,[1],,0,
Gliese 180 d,Gliese 180,M2V,7.56,,,0.26,,106.3,39.0,[1],,0,
Gliese 357 d,Gliese 357,M2V,6.1,,,0.38,200.0,55.7,31.0,,,0,
Gliese 433 d,Gliese 433,M2V,5.22,,,1.06,,36.1,29.6,[1],,0,
Gliese 514 b,Gliese 514,M1V,5.2,,,0.28,202.0,140.4,25.0,Highly eccentric[8],,0,
Gliese 555 b,Gliese 555,M4V,5.46,,,0.5,214.0,36.2,20.4,Probably a mini-Neptune or an ocean planet[10],,0,
Gliese 625 b,Gliese 625,M2V,2.82,,,,,14.63,21.1,Only in HZ if very optimistic models used[11][12][13],,0,
Gliese 667 Cc,Gliese 667 C,M1V,3.81,1.54,,0.88,277.0,28.1,23.62,[14][1],,0,
Gliese 1002 b,Gliese 1002,M5V,1.08,1.03,,0.67,231.0,10.3,15.8,[15],,0,
Gliese 1002 c,Gliese 1002,M5V,1.36,1.1,,0.26,182.0,21.2,15.8,[15][16],,0,
GJ 1061 c,GJ 1061,M5V,1.74,1.18,,1.45,275.0,6.7,12.0,,,0,
GJ 1061 d,GJ 1061,M5V,1.64,1.16,,0.69,218.0,13.0,12.0,,,0,
GJ 3293 d,GJ 3293,M2V,7.6,,,0.59,223.0,48.1,66.0,[1],,0,
GJ 3998 d,GJ 3998,M1V,6.07,,,,,41.8,58.0,[17],,0,
HD 20794 d,HD 20794,G8V,5.82,,,,,647.6,19.7,Highly eccentric orbit and could also be a mini-Neptune[18][19],,0,
HD 216520 c,HD 216520,K0V,9.44,,,1.28,,154.4,64.0,[1],,0,
HIP 38594 b,HIP 38594,M0V,8.1,,,1.34,,60.7,58.0,[1],,0,
K2-9b,K2-9,M2V,,2.25,,1.45,279.0,18.4,270.0,[1][20],,0,
K2-72e,K2-72,M?V,2.21,1.29,,1.3,261.0,24.2,217.0,[21],,0,
